year,sum_cash_over_under,avg_Bread_COGS,avg_Food_COGS,avg_Sides_COGS,avg_Paper_COGS,avg_Produce_COGS,avg_Beverage_COGS,avg_Catering_COGS,sub_total_COGS,discounted_total_COGS,transaction_count,avg_dollars_per_transaction,total_dollar_sales,total_less_net_promo,total_net_less_employee_freebies,total_royalty_sales,advertising_payments,media_payments,royalty_payments,total_fees_payments,total_employee_freebies,total_promo,total_waste,total_freebies,total_labor_manager_USD,total_labor_inshop_USD,total_labor_driver_USD,total_labor_tax_USD,total_labor_dmr_USD,total_labor_USD,total_vacation_USD,total_training_pay_USD,total_vacation_tax_USD,total_training_tax_USD,total_vacation_training_USD,total_labor_cost_USD,total_bread_4311,total_food_4312,total_sides_4313,total_paper_4314,total_beverage_4316,total_catering_4320,total_operating_supplies_5220,total_food_fuel_surcharge,total_food_delivery_charges,total_food_tax,food_invoice_totals,total_produce_4315,total_produce_delivery_charges,produce_invoice_totals,shift_1_wed,shift_2_wed,shift_3_thu,shift_4_thu,shift_5_fri,shift_6_fri,shift_7_sat,shift_8_sat,shift_9_sun,shift_10_sun,shift_11_mon,shift_12_mon,shift_13_tue,shift_14_tue,royalty_sales_total
2014,$89.36,3.77%,13.86%,3.53%,1.32%,2.34%,1.58%,0.10%,26.50%,26.58%,"70,830",$10.05,"$712,034.17","$10,543.32","$10,439.99","$691,050.86","$10,365.76","$20,731.53","$41,463.05","$72,560.34","$5,379.17","$10,543.32",$345.49,"$20,983.31","$70,964.88","$73,726.53","$52,206.26","$22,544.78","$13,767.96","$233,210.41","$5,360.00",$460.00,$613.72,$52.67,"$6,486.39","$239,696.80","$26,426.73","$101,090.38","$24,333.31","$9,731.63","$11,710.12",$903.69,"$2,893.58",$553.00,$0.00,$357.50,"$178,020.17","$16,828.08",$0.00,"$16,828.08","$60,403.74","$37,045.72","$62,344.34","$38,626.77","$67,673.99","$39,462.92","$68,686.39","$36,615.22","$52,956.15","$33,928.83","$60,200.17","$34,831.44","$59,407.89","$38,867.29","$691,050.86"
2015,$316.05,3.58%,13.63%,3.28%,1.28%,3.36%,1.50%,0.11%,26.73%,26.75%,"69,391",$10.80,"$749,215.08","$9,186.51","$11,071.24","$728,957.33","$10,934.36","$21,868.72","$43,737.44","$76,540.52","$4,790.08","$9,186.51",$348.87,"$20,257.75","$76,947.62","$55,444.26","$61,706.84","$22,224.30","$18,892.42","$235,215.45","$2,220.00","$3,480.00",$254.19,$398.46,"$6,352.65","$241,568.10","$26,800.21","$102,298.35","$24,593.14","$9,600.24","$11,210.00",$829.73,"$3,531.56",$111.50,$0.00,$441.92,"$179,416.65","$25,124.53",$0.00,"$25,124.53","$65,326.84","$40,080.58","$67,625.99","$40,698.13","$74,517.77","$40,810.40","$72,863.27","$35,185.39","$53,550.21","$34,391.75","$62,419.90","$35,856.83","$66,675.18","$38,955.09","$728,957.33"
2016,$60.94,3.35%,11.81%,3.01%,1.08%,3.25%,1.44%,0.09%,24.02%,24.03%,"66,054",$12.15,"$802,377.69","$17,174.96","$15,637.77","$769,564.96","$11,543.47","$23,086.95","$46,173.90","$80,804.32","$8,977.29","$17,174.96",$547.66,"$32,812.73","$78,592.45","$56,629.39","$61,847.88","$22,564.48","$20,607.94","$240,242.14","$1,710.00",$920.00,$195.79,$105.34,"$2,931.14","$243,173.28","$26,784.83","$94,486.78","$24,094.85","$8,635.13","$11,525.15",$978.26,"$3,549.39",$10.00,$0.00,$417.41,"$170,481.81","$26,159.43",$0.00,"$26,159.43","$72,547.70","$42,158.67","$74,212.22","$43,293.19","$79,522.14","$41,816.52","$73,421.78","$38,810.34","$56,675.18","$34,389.38","$68,077.41","$35,406.65","$67,817.83","$41,415.95","$769,564.96"
2017,$-218.88,3.33%,11.71%,2.97%,1.04%,2.89%,1.52%,0.10%,23.56%,23.56%,"62,690",$12.56,"$787,588.28","$7,413.06","$13,295.93","$766,879.29","$11,503.19","$23,006.38","$46,012.76","$80,522.33","$7,378.12","$7,413.06",$445.25,"$20,708.99","$78,831.21","$47,207.90","$64,387.36","$21,803.83","$22,213.15","$234,443.45","$2,170.00",$200.00,$248.46,$22.90,"$2,641.36","$237,084.81","$26,129.18","$91,837.96","$23,367.19","$8,237.31","$12,169.65",$801.04,"$3,472.37",$25.50,$0.00,$366.99,"$166,407.19","$22,935.09",$0.00,"$22,935.09","$72,053.25","$38,767.88","$78,605.45","$40,544.85","$83,952.34","$41,745.52","$71,709.85","$37,933.63","$55,308.48","$33,015.09","$70,424.64","$34,739.03","$69,808.87","$38,270.41","$766,879.29"
2018,$-355.67,3.21%,11.91%,3.06%,1.10%,2.31%,1.42%,0.15%,23.16%,23.18%,"56,849",$13.46,"$765,381.34","$9,309.21","$13,206.25","$742,865.88","$11,142.99","$22,285.98","$44,571.95","$78,000.92","$7,943.78","$9,309.21",$410.89,"$22,515.46","$80,165.07","$62,492.85","$56,158.40","$22,764.47","$18,721.18","$240,301.96",$460.00,$230.00,$52.67,$26.34,$769.01,"$241,070.96","$24,748.04","$91,955.04","$23,653.64","$8,358.13","$10,802.12","$1,091.51","$2,949.00",$128.00,$0.00,$320.83,"$164,006.31","$17,419.92",$0.00,"$17,419.92","$71,544.45","$37,358.77","$76,665.76","$39,667.67","$81,670.43","$37,884.07","$76,854.73","$36,382.70","$56,099.81","$32,299.00","$67,581.91","$32,167.01","$63,910.65","$32,778.92","$742,865.88"
2019,"$-1,228.58",3.54%,12.89%,3.20%,1.19%,2.09%,1.47%,0.15%,24.54%,24.55%,"54,068",$13.18,"$712,415.54","$9,974.30","$11,992.49","$690,448.75","$10,356.73","$20,713.46","$41,426.93","$72,497.12","$7,946.39","$9,974.30",$55.60,"$21,966.79","$84,635.15","$83,757.63","$43,401.33","$24,250.42","$15,917.61","$251,962.13","$1,250.00",$0.00,$143.12,$0.00,"$1,393.12","$253,355.26","$24,738.19","$89,168.40","$22,548.35","$8,409.03","$10,488.78",$956.77,"$1,761.75",$145.00,$0.00,$202.81,"$158,419.08","$14,540.86",$0.00,"$14,540.86","$62,660.19","$33,924.75","$68,549.47","$35,070.12","$74,396.26","$36,279.39","$70,217.26","$28,515.81","$58,783.56","$27,618.80","$66,821.91","$31,943.27","$64,073.33","$31,594.63","$690,448.75"
2020,$245.39,3.30%,12.94%,3.42%,1.28%,2.15%,1.44%,0.12%,24.64%,24.68%,"56,655",$13.80,"$781,671.15","$23,244.25","$8,273.86","$750,153.04","$11,252.30","$22,504.59","$45,009.18","$78,766.07","$4,376.58","$23,244.25",$255.14,"$31,518.11","$101,444.52","$59,810.54","$48,574.14","$24,025.44","$18,525.56","$252,380.20",$150.00,$0.00,$17.18,$0.00,$167.18,"$252,547.38","$25,370.84","$102,068.86","$26,472.05","$9,832.82","$11,850.40",$976.44,"$4,870.76",$106.00,$50.00,$455.98,"$182,054.15","$17,449.44",$35.00,"$17,484.44","$74,359.43","$33,692.87","$78,350.21","$34,403.67","$89,214.27","$35,214.08","$76,794.90","$31,865.05","$58,423.72","$28,101.98","$72,232.74","$29,896.36","$76,484.38","$31,119.38","$750,153.04"
2021,"$1,484.44",3.01%,13.38%,3.70%,1.22%,2.27%,1.71%,0.26%,25.55%,25.55%,"66,714",$14.63,"$976,220.74","$23,509.76","$7,756.01","$944,954.97","$14,174.32","$28,348.65","$56,697.30","$99,220.27","$4,329.74","$24,286.53",$448.60,"$32,238.06","$124,886.87","$60,144.21","$58,713.12","$27,908.71","$23,103.61","$294,756.51",$0.00,$0.00,$0.00,$0.00,$0.00,"$294,756.51","$29,213.96","$130,273.89","$36,187.11","$12,297.48","$16,881.27","$2,621.32","$7,489.10",$85.00,$0.00,$727.26,"$235,776.38","$21,920.75",$0.00,"$21,920.75","$90,827.63","$48,953.92","$92,509.79","$48,885.75","$96,926.14","$45,202.46","$91,811.44","$36,884.84","$71,048.47","$37,976.82","$88,188.96","$40,889.97","$97,736.70","$57,112.08","$944,954.97"
2022,"$1,063.93",3.02%,13.27%,4.04%,1.40%,1.76%,1.76%,0.25%,25.51%,25.52%,"10,486",$15.18,"$159,165.47","$4,383.76","$1,294.61","$153,487.10","$2,302.31","$4,604.61","$9,209.23","$16,116.15",$764.87,"$4,383.76",$57.82,"$5,678.37","$21,239.11","$5,388.37","$11,279.89","$4,340.39","$3,492.51","$45,740.27",$0.00,$0.00,$0.00,$0.00,$0.00,"$45,740.27","$4,855.81","$22,056.96","$6,452.90","$2,384.68","$2,893.29",$417.48,"$1,133.13",$27.50,$0.00,$98.50,"$40,320.25","$2,791.29",$0.00,"$2,791.29","$14,365.21","$7,216.08","$11,750.12","$5,955.29","$14,298.69","$7,528.48","$15,648.55","$3,270.74","$14,817.36","$6,408.92","$16,408.06","$7,799.95","$16,566.88","$11,452.77","$153,487.10"
TOTAL,"$1,456.98",3.34%,12.82%,3.36%,1.21%,2.49%,1.54%,0.15%,24.91%,24.93%,"513,737",$12.87,"$6,446,069.46","$114,739.13","$92,968.15","$6,238,362.18","$93,575.43","$187,150.87","$374,301.73","$655,028.03","$51,886.02","$115,515.90","$2,915.32","$208,679.57","$717,706.87","$504,601.67","$458,275.20","$192,426.84","$155,241.94","$2,028,252.52","$13,320.00","$5,290.00","$1,525.14",$605.71,"$20,740.85","$2,048,993.36","$215,067.80","$825,236.61","$211,702.54","$77,486.46","$99,530.78","$9,576.24","$31,650.64","$1,191.50",$50.00,"$3,389.20","$1,474,901.99","$165,169.40",$35.00,"$165,204.40","$584,088.44","$319,199.24","$610,613.35","$327,145.44","$662,172.03","$325,943.84","$618,008.17","$285,463.72","$477,662.94","$268,130.57","$572,355.70","$283,530.51","$582,481.71","$321,566.52","$6,238,362.18"
