year,total_employee_freebies,total_promo,total_waste,total_freebies
2014,5379.169999999999,10543.319999999998,345.49,20983.310000000005
2015,4790.080000000001,9186.51,348.87,20257.750000000004
2016,8977.290000000003,17174.96,547.6600000000001,32812.73
2017,7378.12,7413.06,445.25,20708.990000000005
2018,7943.780000000001,9309.210000000001,410.89000000000004,22515.459999999995
2019,7946.39,9974.300000000001,55.599999999999994,21966.79
2020,4376.58,23244.249999999996,255.14000000000001,31518.11
2021,4329.740000000002,24286.530000000002,448.6,32238.06
2022,764.87,4383.76,57.82,5678.37
TOTAL,51886.02000000001,115515.90000000001,2915.32,208679.57
